Container,R / E,Container Price,
61598,R,$671.00,
000005C6,R,Expendable,
000006C3,R,Expendable,
000006C5,R,Expendable,
12883,R,$310.00,
12896,R,$425.00,
12897,R,$500.00,
17112,R,$417.00,
17113,R,$345.00,
17843,R,$500.00,
22376,R,$600.00,
22378,R,$600.00,
22468,R,$450.00,
22770,R,$350.00,
23051,R,"$1,150.00",
23052,R,"$1,050.00",
23230,R,$350.00,
24597,R,$250.00,
26229,R,$325.00,
26336,R,$375.00,
26466,R,$700.00,
28085,R,$700.00,
28213,R,"$1,200.00",
28847,R,$178.00,
28848,R,$275.00,
28849,R,$265.00,
28850,R,$310.00,
29016,R,$650.00,
31097,R,$500.00,
31285,R,$400.00,
39876,R,$350.00,
46600,R,$725.00,
46858,R,$722.00,
61598,R,$671.00,
000980B1,R,Expendable,
0PC16000,R,Expendable,
AHB52709,R,$350.00,
AHB53350,R,$600.00,
AHB53351,R,$200.00,
AHB53396,R,$600.00,
AHB53397,R,"$1,500.00",
AHB56831,R,$300.00,
AHB56926,R,"$2,400.00",
AHB57186,R,$600.00,
AHB57187,R,$275.00,
AHB57485,R,$275.00,
AHB57789,R,$350.00,
AHB57833,R,$300.00,
AHB59703,R,$350.00,
AHB61563,R,$400.00,
AHB62927,R,$350.00,
AHB64683,R,$700.00,
AHB66344,R,"$1,000.00",
AHB66558,R,$300.00,
AHB67417,R,$200.00,
AHB67796,R,$300.00,
AHB68067,R,$350.00,
AHB68382,R,$550.00,
AHB68548,R,"$1,500.00",
AHB68882,R,$900.00,
AHB69419,R,$850.00,
AHB69424,R,$350.00,
AHB69434,R,$500.00,
AHB69601,R,$350.00,
AHB69957,R,$350.00,
AHB70974,R,$700.00,
AHB71016,R,$750.00,
GMPT1872,R,$250.00,
KC323025,R,$73.87,
KC323034,R,$81.28,
KC484525,R,$99.00,
KC484534,R,$109.60,
KC484542,R,$200.00,
KC564834,R,$224.00,
KC644825,R,$202.00,
KC644834,R,$216.00,
KD323025,R,$73.87,
KD323034,R,$77.43,
KD484525,R,$99.00,
KD484534,R,$104.00,
KD644825,R,$202.00,
KD644834,R,$216.00,
MAC01064,R,$854.00,
MAC01785,R,"$1,100.00",
MAC02059,R,$250.00,
MAC04337,R,"$1,000.00",
MAC04338,R,"$1,100.00",
MAC04416,R,$244.02,
MAC04417,R,$268.68,
MAC05664,R,$500.00,
MAC05872,R,"$2,000.00",
MAC06067,R,$900.00,
MAC06118,R,"$1,900.00",
MAC06208,R,"$1,000.00",
MAC06362,R,$300.00,
MAC06565,R,$350.00,
MAC06567,R,$362.00,
MAC06568,R,$350.00,
MAC06569,R,$200.00,
MAC06576,R,$500.00,
MAC06577,R,$500.00,
MAC06578,R,$500.00,
MAC06581,R,$275.00,
MAC06587,R,$783.00,
MAC06592,R,$175.00,
MAC06593,R,$175.00,
MAC06596,R,$425.00,
MAC06600,R,"$1,250.00",
MAC06601,R,$485.00,
MAC06603,R,$250.00,
MAC06611,R,$700.00,
MAC06616,R,$700.00,
MAC06617,R,"$1,133.00",
MAC06620,R,"$1,227.00",
MAC06625,R,"$1,550.00",
MAC06626,R,"$1,550.00",
MAC06627,R,$800.00,
MAC06630,R,$459.00,
MAC06634,R,$325.00,
MAC06636,R,$300.00,
MAC06637,R,$150.00,
MAC06643,R,$200.00,
MAC06644,R,$800.00,
MAC06646,R,$335.00,
MAC06660,R,$250.00,
MAC06661,R,$250.00,
MAC06664,R,$550.00,
MAC06665,R,$350.00,
MAC06666,R,$350.00,
MAC06669,R,$300.00,
MAC06673,R,$300.00,
MAC06674,R,$300.00,
MAC06675,R,$300.00,
MAC06677,R,$494.00,
MAC06701,R,$350.00,
MAC06703,R,$250.00,
MAC06706,R,$250.00,
MAC06708,R,$300.00,
MAC06712,R,$300.00,
MAC06722,R,$275.00,
MAC06729,R,$250.00,
MAC06757,R,"$1,500.00",
MAC06767,R,$700.00,
MAC06768,R,$300.00,
MAC06769,R,$300.00,
MAC06770,R,$400.00,
MAC06772,R,$460.00,
MAC06773,R,$800.00,
MAC06774,R,$350.00,
MAC06775,R,$350.00,
MAC06776,R,$500.00,
MAC06782,R,$400.00,
MAC06783,R,$400.00,
MAC06795,R,$230.00,
MAC06799,R,$350.00,
MAC06802,R,$300.00,
MAC06807,R,"$1,325.00",
MAC06809,R,"$1,325.00",
MAC07566,R,$300.00,
MAC07571,R,"$1,250.00",
MAC07576,R,"$1,500.00",
MAC07577,R,"$1,350.00",
MAC07634,R,$450.00,
MAC07701,R,$199.40,
MAC08077,R,$199.40,
MAC08368,R,"$1,000.00",
MAC08387,R,$500.00,
MAC08391,R,$300.00,
MAC08583,R,$600.00,
MAC08648,R,$250.00,
MAC08657,R,$250.00,
MAC08658,R,$400.00,
MAC08659,R,"$2,000.00",
MAC08660,R,$650.00,
MAC08666,R,$450.00,
MAC08669,R,$250.00,
MAC08686,R,"$1,350.00",
MAC08777,R,"$1,000.00",
MAC08778,R,$265.00,
MAC08781,R,$450.00,
MAC08782,R,$600.00,
MAC08785,R,$350.00,
MAC08815,R,"$1,250.00",
MAC08894,R,"$1,250.00",
MAC09076,R,$200.00,
MAC09273,R,$400.00,
MAC09274,R,$400.00,
MAC09292,R,"$1,600.00",
MAC09314,R,"$1,500.00",
MAC09315,R,"$1,500.00",
MAC09317,R,$250.00,
MAC09357,R,$250.00,
MAC09943,R,"$1,350.00",
MAC10054,R,"$2,000.00",
MAC10832,R,$600.00,
MAC10870,R,$350.00,
MAC10962,R,$550.00,
MAC11185,R,$500.00,
MAC11297,R,"$1,000.00",
MAC11353,R,$250.00,
MAC11454,R,$750.00,
MAC11676,R,$556.00,
MAC12187,R,"$1,150.00",
MAC12352,R,$800.00,
MAC12367,R,$800.00,
MAC12665,R,$200.00,
MAC12727,R,$900.00,
MAC12819,R,$450.00,
MAC12823,R,$450.00,
MAC12915,R,"$1,000.00",
MAC13008,R,"$1,100.00",
MAC13300,R,"$1,000.00",
MAC13301,R,"$1,100.00",
MAC13326,R,"$1,200.00",
MAC13337,R,"$1,000.00",
MAC13339,R,$500.00,
MAC13873,R,"$1,058.92",
MAC14157,R,"$1,500.00",
MAC14196,R,$500.00,
MAC14415,R,"$1,500.00",
MAC14544,R,$911.67,
MAC14629,R,$600.00,
MAC14657,R,$150.00,
MAC14666,R,"$1,000.00",
MAC14704,R,"$1,550.00",
MAC14705,R,$500.00,
MAC14774,R,$700.00,
MAC14806,R,$900.00,
MAC14884,R,$322.82,
MAC14885,R,$375.00,
MAC14886,R,$147.97,
MAC14887,R,$264.29,
MAC14900,R,$300.00,
MAC14901,R,$300.00,
MAC15058,R,"$1,150.00",
MAC15309,R,"$1,698.00",
MAC15333,R,"$1,698.00",
MAC15345,R,"$1,150.00",
MAC15355,R,"$1,000.00",
MAC15397,R,"$1,088.00",
MAC15517,R,"$1,088.00",
MAC15518,R,"$1,698.00",
MAC15524,R,$350.00,
MAC15527,R,$450.00,
MAC15550,R,"$1,000.00",
MAC15594,R,"$1,525.21",
MAC15627,R,"$1,000.00",
MAC15633,R,$500.00,
MAC15678,R,$961.49,
MAC15786,R,$996.03,
MAC15849,R,"$1,472.07",
MAC15866,R,$791.50,
MAC15868,R,$550.00,
MAC15869,R,$497.17,
MAC15871,R,$227.73,
MAC15873,R,$190.74,
MAC15875,R,$724.87,
MAC15879,R,$600.00,
MAC15881,R,$480.90,
MAC15883,R,$300.00,
MAC15889,R,$431.20,
MAC15891,R,$263.06,
MAC15893,R,$550.00,
MAC15895,R,$600.00,
MAC15897,R,$447.00,
MAC15899,R,$447.00,
MAC15905,R,$233.09,
MAC15940,R,$400.00,
MAC15995,R,"$1,100.00",
MAC16007,R,"$1,750.00",
MAC16379,R,"$1,015.00",
MAC16380,R,"$1,015.00",
MAC16413,R,$700.00,
MAC16455,R,$350.00,
MAC16489,R,$275.00,
MAC16501,R,$900.00,
MAC16559,R,$300.00,
MAC16565,R,$199.40,
MAC16623,R,$781.15,
MAC16638,R,"$1,400.00",
MAC16790,R,$437.32,
MAC16805,R,$400.00,
MAC16808,R,$650.00,
MAC16889,R,$285.00,
MAC16902,R,"$1,737.22",
MAC16954,R,"$1,250.00",
MAC17003,R,$350.00,
MAC17038,R,$836.00,
MAC17043,R,$300.00,
MAC17063,R,$287.00,
MAC17064,R,"$1,250.00",
MAC17090,R,"$1,150.00",
MAC17104,R,$300.00,
MAC17106,R,$300.00,
MAC17108,R,$350.00,
MAC17110,R,$360.00,
MAC17188,R,$300.00,
MAC17262,R,$200.00,
MAC17271,R,$400.00,
MAC17275,R,$300.00,
MAC17278,R,$275.00,
MAC17283,R,$200.00,
MAC17285,R,$300.00,
MAC17287,R,$250.00,
MAC17338,R,$781.15,
MAC17341,R,$300.00,
MAC17391,R,$450.00,
MAC17412,R,"$1,350.00",
MAC17424,R,$600.00,
MAC17445,R,$450.00,
MAC17459,R,$350.00,
MAC17478,R,$550.00,
MAC17522,R,$300.00,
MAC17638,R,$350.00,
MAC17661,R,$500.00,
MAC17666,R,$500.00,
MAC17667,R,$200.00,
MAC17668,R,$335.92,
MAC17669,R,$300.00,
MAC17670,R,$450.00,
MAC17675,R,$350.00,
MAC17679,R,$450.00,
MAC17681,R,$400.00,
MAC17722,R,$781.15,
MAC17730,R,$250.00,
MAC17732,R,$425.00,
MAC17754,R,$250.00,
MAC17757,R,$400.00,
MAC17761,R,$300.00,
MAC17762,R,$300.00,
MAC17823,R,$110.00,
MAC17845,R,$300.00,
MAC17847,R,$350.00,
MAC17856-SC,R,$300.00,
MAC17875,R,$300.00,
MAC17883,R,$157.00,
MAC17884,R,$585.92,
MAC17897,R,$612.89,
MAC17981,R,"$1,350.00",
MAC18078,R,"$1,350.00",
MAC18102,R,$350.00,
MAC18187,R,$836.00,
MAC18345,R,"$1,000.00",
MAC18370,R,"$1,000.00",
MAC18371,R,$996.03,
MAC18442,R,$458.10,
MAC18470,R,$275.00,
MAC18474,R,$275.00,
MAC18477,R,$275.00,
MAC18481,R,$275.00,
MAC18484,R,$275.00,
MAC18518-SC,R,$350.00,
MAC18537,R,$550.00,
MAC18546,R,$500.00,
MAC18551,R,"$1,157.98",
MAC18556,R,$450.00,
MAC18559,R,$300.00,
MAC18595,R,$461.19,
MAC18600,R,$300.00,
MAC18611-BC,R,"$1,250.00",
MAC18632,R,$225.00,
MAC18664,R,$405.00,
MAC18668,R,$635.72,
MAC18678,R,$225.00,
MAC18733,R,$600.00,
MAC18759,R,$265.00,
MAC18766,R,$199.40,
MAC18850,R,$590.24,
MAC18856,R,$352.10,
MAC18859,R,$350.00,
MAC18873,R,$350.00,
MAC18894,R,$800.00,
MAC18926,R,"$1,100.00",
MAC18927,R,"$1,100.00",
MAC18928,R,"$1,600.00",
MAC25087,R,$689.30,
MAC25214,R,"$1,300.00",
MAC25255,R,$303.19,
MAC25325,R,$163.68,
MAC25328,R,$263.41,
MAC25331,R,$195.20,
MAC25337,R,$225.05,
MAC25362,R,"$1,200.00",
MAC25364,R,"$1,000.00",
MAC25365,R,"$1,000.00",
MAC25445,R,"$1,250.00",
MAC25446,R,"$1,250.00",
MAC25450,R,"$1,200.00",
MAC25453,R,$350.00,
MAC25555,R,$200.00,
MAC25575,R,$300.00,
MAC25877,R,$250.00,
MAC25956,R,"$1,350.00",
MAC26006,R,$450.00,
MAC26021,R,$300.00,
MAC26042,R,$300.00,
MAC26044,R,$300.00,
MAC26046,R,$300.00,
MAC26094,R,$450.00,
MAC26175,R,"$1,100.00",
MAC26176,R,"$1,100.00",
MAC26193,R,$350.00,
MAC26213,R,$350.00,
MAC26238,R,$400.00,
MAC26296,R,$350.00,
MAC26475,R,$250.00,
MAC26482,R,"$1,000.00",
MAC26500,R,$273.97,
MAC26501,R,$392.97,
MAC26502,R,$257.41,
MAC26503,R,$252.26,
MAC26610,R,$420.00,
MAC26617,R,$435.78,
MAC26639,R,$300.00,
MAC26721,R,"$1,600.00",
MAC26883,R,$350.00,
MAC26929,R,$550.00,
MAC26982,R,$517.81,
MAC26998,R,"$1,088.21",
MAC27073,R,"$1,200.00",
MAC27074,R,$500.00,
MAC27075,R,$580.00,
MAC27101,R,$251.32,
MAC27128,R,$171.31,
MAC27351,R,$282.91,
MAC27431,R,$450.00,
MAC27464,R,$428.46,
MAC27474,R,$623.73,
MAC27480,R,$325.00,
MAC27499,R,"$1,794.63",
MAC27501,R,$848.76,
MAC27503,R,$848.76,
MAC27537,R,$422.75,
MAC27611,R,$758.12,
MAC27612,R,$758.12,
MAC27663,R,$400.00,
MAC27715,R,$335.09,
MAC27762,R,"$1,500.00",
MAC27862,R,$350.00,
MAC27920,R,$450.00,
MAC28110,R,"$1,150.00",
MAC28141,R,$737.37,
MAC28142,R,$737.37,
MAC28223,R,$180.00,
MAC28273,R,$577.23,
MAC28347,R,$350.00,
MAC28349,R,$265.00,
MAC28424,R,$200.00,
MAC28445,R,$350.00,
MAC28648,R,$244.28,
MAC28779,R,$346.00,
MAC28802,R,$400.00,
MAC28913,R,$350.00,
MAC28929,R,$800.00,
MAC28960,R,$700.00,
MAC28989,R,$500.00,
MAC29333,R,$650.00,
MAC29351,R,$275.00,
MAC29675,R,$702.09,
MAC29714,R,$674.86,
MAC30138,R,$550.00,
MAC30726,R,$650.00,
MAC30952,R,$200.00,
MAC31060,R,$350.00,
MAC31172,R,$200.00,
MAC31214,R,$400.00,
MAC31320,R,$212.00,
MAC31710,R,"$1,500.00",
MAC31731,R,$350.00,
MAC31732,R,$300.00,
MAC31734,R,$350.00,
MAC31738,R,$300.00,
MAC31824,R,$300.00,
MAC31830,R,$400.00,
MAC31837,R,$300.00,
MAC31846,R,$350.00,
MAC31857,R,$300.00,
MAC31883,R,$615.00,
MAC32175,R,$350.00,
MAC32297,R,$200.00,
MAC32413,R,$275.00,
MAC32428,R,$350.00,
MAC32431,R,$745.00,
MAC32574,R,$400.00,
MAC32576,R,$400.00,
MAC32801,R,$700.00,
MAC32841,R,$450.00,
MAC33060,R,$350.00,
MAC33060-BC,R,$350.00,
MAC33127,R,$267.04,
MAC33130,R,$267.04,
MAC33223,R,$525.00,
MAC33233,R,$200.00,
MAC33600,R,"$1,100.00",
MAC33756,R,$199.40,
MAC33757,R,$275.00,
MAC33879,R,$275.00,
MAC33880,R,$275.00,
MAC33904,R,$275.00,
MAC34010,R,$250.00,
MAC34194,R,$400.00,
MAC34246,R,$525.00,
MAC34980,R,$350.00,
MAC36272,R,$300.00,
MAC36385,R,$275.00,
MAC36444,R,$225.00,
SC151208,R,$3.70,
SC151210,R,$4.40,
SC241210,R,$6.00,
SC241508,R,$4.89,
SC241510,R,$5.85,
SC241515,R,$7.95,
SC242309,R,$7.83,
SC242311,R,$8.50,
SC242315,R,$10.15,
SC321508,R,$10.00,
SC481508,R,$9.90,
SD151208,R,$3.70,
SD241508,R,$4.89,
SD241510,R,$5.85,
SD241515,R,$7.95,
SD242309,R,$7.83,
SD242315,R,$10.15,
SD321508,R,$10.00,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,